,Region,Agegroup,Sex,Year,Rate
10168,NORTH EAST,55-64,Male,2010-01-01 00:00:00,4.954020497259807
10172,NORTH EAST,65-74,Male,2010-01-01 00:00:00,26.75704602211916
10176,NORTH EAST,75-84,Male,2010-01-01 00:00:00,85.58301552505931
10180,NORTH EAST,85+,Male,2010-01-01 00:00:00,137.7334582116688
10476,NORTH EAST,UNDER 25,Male,2011-01-01 00:00:00,0.0
10478,NORTH EAST,25-34,Male,2011-01-01 00:00:00,0.0
10480,NORTH EAST,35-44,Male,2011-01-01 00:00:00,0.0
10483,NORTH EAST,45-54,Male,2011-01-01 00:00:00,1.0778126869331377
10487,NORTH EAST,55-64,Male,2011-01-01 00:00:00,8.628659476117104
10491,NORTH EAST,65-74,Male,2011-01-01 00:00:00,37.38025279482588
10495,NORTH EAST,75-84,Male,2011-01-01 00:00:00,88.32467551909458
10499,NORTH EAST,85+,Male,2011-01-01 00:00:00,143.78940382701032
10795,NORTH EAST,UNDER 25,Male,2012-01-01 00:00:00,0.0
10797,NORTH EAST,25-34,Male,2012-01-01 00:00:00,0.0
10799,NORTH EAST,35-44,Male,2012-01-01 00:00:00,0.0
10802,NORTH EAST,45-54,Male,2012-01-01 00:00:00,0.5374032674118657
10806,NORTH EAST,55-64,Male,2012-01-01 00:00:00,5.632286771009995
10810,NORTH EAST,65-74,Male,2012-01-01 00:00:00,28.834588324463265
10814,NORTH EAST,75-84,Male,2012-01-01 00:00:00,100.90522221084804
10818,NORTH EAST,85+,Male,2012-01-01 00:00:00,207.27040816326536
25,YORKSHIRE AND THE HUMBER,UNDER 25,Male,1974-01-01 00:00:00,0.10426441455531228
27,YORKSHIRE AND THE HUMBER,25-34,Male,1974-01-01 00:00:00,0.30497102775236357
29,YORKSHIRE AND THE HUMBER,35-44,Male,1974-01-01 00:00:00,0.7109847138286527
32,YORKSHIRE AND THE HUMBER,45-54,Male,1974-01-01 00:00:00,0.6497725795971411
35,YORKSHIRE AND THE HUMBER,55-64,Male,1974-01-01 00:00:00,1.9394879751745537
38,YORKSHIRE AND THE HUMBER,65-74,Male,1974-01-01 00:00:00,7.8698845750262345
41,YORKSHIRE AND THE HUMBER,75-84,Male,1974-01-01 00:00:00,29.874213836477992
44,YORKSHIRE AND THE HUMBER,85+,Male,1974-01-01 00:00:00,0.0
217,YORKSHIRE AND THE HUMBER,UNDER 25,Male,1975-01-01 00:00:00,0.10476689366160294
219,YORKSHIRE AND THE HUMBER,25-34,Male,1975-01-01 00:00:00,0.0
221,YORKSHIRE AND THE HUMBER,35-44,Male,1975-01-01 00:00:00,0.0
224,YORKSHIRE AND THE HUMBER,45-54,Male,1975-01-01 00:00:00,0.6677796327212021
227,YORKSHIRE AND THE HUMBER,55-64,Male,1975-01-01 00:00:00,0.7619047619047619
230,YORKSHIRE AND THE HUMBER,65-74,Male,1975-01-01 00:00:00,4.6680497925311215
233,YORKSHIRE AND THE HUMBER,75-84,Male,1975-01-01 00:00:00,9.11854103343465
236,YORKSHIRE AND THE HUMBER,85+,Male,1975-01-01 00:00:00,0.0
409,YORKSHIRE AND THE HUMBER,UNDER 25,Male,1976-01-01 00:00:00,0.0
411,YORKSHIRE AND THE HUMBER,25-34,Male,1976-01-01 00:00:00,0.0
413,YORKSHIRE AND THE HUMBER,35-44,Male,1976-01-01 00:00:00,0.0
416,YORKSHIRE AND THE HUMBER,45-54,Male,1976-01-01 00:00:00,0.6839945280437756
419,YORKSHIRE AND THE HUMBER,55-64,Male,1976-01-01 00:00:00,1.5071590052750565
422,YORKSHIRE AND THE HUMBER,65-74,Male,1976-01-01 00:00:00,7.183170856849666
425,YORKSHIRE AND THE HUMBER,75-84,Male,1976-01-01 00:00:00,16.442451420029894
428,YORKSHIRE AND THE HUMBER,85+,Male,1976-01-01 00:00:00,0.0
601,YORKSHIRE AND THE HUMBER,UNDER 25,Male,1977-01-01 00:00:00,0.0
603,YORKSHIRE AND THE HUMBER,25-34,Male,1977-01-01 00:00:00,0.0
605,YORKSHIRE AND THE HUMBER,35-44,Male,1977-01-01 00:00:00,0.36062026685899745
608,YORKSHIRE AND THE HUMBER,45-54,Male,1977-01-01 00:00:00,1.7391304347826086
611,YORKSHIRE AND THE HUMBER,55-64,Male,1977-01-01 00:00:00,1.499250374812594
614,YORKSHIRE AND THE HUMBER,65-74,Male,1977-01-01 00:00:00,7.135575942915393
617,YORKSHIRE AND THE HUMBER,75-84,Male,1977-01-01 00:00:00,2.886002886002886
620,YORKSHIRE AND THE HUMBER,85+,Male,1977-01-01 00:00:00,8.474576271186441
793,YORKSHIRE AND THE HUMBER,UNDER 25,Male,1978-01-01 00:00:00,0.0
795,YORKSHIRE AND THE HUMBER,25-34,Male,1978-01-01 00:00:00,0.0
797,YORKSHIRE AND THE HUMBER,35-44,Male,1978-01-01 00:00:00,0.0
800,YORKSHIRE AND THE HUMBER,45-54,Male,1978-01-01 00:00:00,0.35348179568752214
803,YORKSHIRE AND THE HUMBER,55-64,Male,1978-01-01 00:00:00,4.50619601952685
806,YORKSHIRE AND THE HUMBER,65-74,Male,1978-01-01 00:00:00,5.055611729019211
809,YORKSHIRE AND THE HUMBER,75-84,Male,1978-01-01 00:00:00,8.379888268156426
812,YORKSHIRE AND THE HUMBER,85+,Male,1978-01-01 00:00:00,0.0
985,YORKSHIRE AND THE HUMBER,UNDER 25,Male,1979-01-01 00:00:00,0.0
987,YORKSHIRE AND THE HUMBER,25-34,Male,1979-01-01 00:00:00,0.286697247706422
989,YORKSHIRE AND THE HUMBER,35-44,Male,1979-01-01 00:00:00,0.34928396786587496
